Company name,Deal date,Investment amount,Incorporation date,Current stage,Exit date,Exit price
RUFFLR,2014/10/31,200000,07/06/2011,Dead,09/11/2017,0
Rabbit & Pork,2014/12/30,13030,04/03/2013,Dead,16/06/2016,0
Race Yourself,2013/11/4,200000,17/06/2013,Dead,12/01/2016,0
Racing Eye,2017/8/29,209977,26/01/2016,Dead,06/12/2018,0
Racing Eye,2016/6/2,10000,26/01/2016,Dead,06/12/2018,0
Radfan,2013/11/28,180033,11/07/2011,Dead,11/10/2019,0
Radfan,2017/8/14,460397,11/07/2011,Dead,11/10/2019,0
Radio Tuna,2013/12/6,48499,06/08/2008,Dead,22/03/2019,0
Radio Tuna,2012/11/21,114999,06/08/2008,Dead,22/03/2019,0
Raffler,2016/1/20,1681216,06/01/2015,Dead,07/11/2018,0
Raffler,2016/10/4,424956,06/01/2015,Dead,07/11/2018,0
RangeRoom,2017/10/31,280881,30/03/2016,Dead,02/05/2019,0
RangeRoom,2017/1/27,29759,30/03/2016,Dead,02/05/2019,0
RangeRoom,2018/7/20,223088,30/03/2016,Dead,02/05/2019,0
Ranier Technology,2014/2/20,5343444,27/01/1995,Dead,30/06/2014,0
Ranier Technology,2011/4/15,1249972,27/01/1995,Dead,30/06/2014,0
Ranier Technology,2010/2/5,3749947,27/01/1995,Dead,30/06/2014,0
Ranier Technology,2012/9/26,3149316,27/01/1995,Dead,30/06/2014,0
Rapha,2015/12/10,38610,29/07/2003,Exited,07/08/2017,200000000
Rapha,2013/8/31,3000000,29/07/2003,Exited,07/08/2017,200000000
Rapha,2014/12/18,44850,29/07/2003,Exited,07/08/2017,200000000
Rapid Rhythm,2012/5/16,500060,10/10/2011,Dead,06/07/2020,0
Rapifage,2017/7/18,50000,02/06/2017,Dead,18/02/2020,0
Rate8,2017/3/9,57142,16/02/2016,Dead,06/11/2018,0
RateMate,2016/1/3,25747,18/08/2014,Dead,19/03/2019,0
