Company name,Deal date,Investment amount,Incorporation date,Current stage,Exit date,Exit price
CycleSwitch,2017/3/1,75000,12/05/2014,Dead,19/03/2019,0
CycleSwitch,2017/6/1,199560,12/05/2014,Dead,19/03/2019,0
Cyra,2016/6/15,20000,,Dead,22/01/2019,0
D-Gen,2012/11/27,12000,19/11/1998,Dead,06/12/2018,0
D-Gen,2011/8/17,40000,19/11/1998,Dead,06/12/2018,0
D-Media Communication,2012/3/28,50000,17/02/2011,Dead,17/01/2019,0
D-Media Communication,2014/4/4,250000,17/02/2011,Dead,17/01/2019,0
DATAMAiT,2015/4/2,224000,25/08/2011,Dead,01/11/2018,0
DATAMAiT,2013/1/25,115000,25/08/2011,Dead,01/11/2018,0
DATEIDEA,2015/11/20,26400,21/10/2014,Dead,05/11/2018,0
DDL,2015/4/23,39996,14/08/2014,Dead,03/07/2019,0
DHL Energy Services,2015/8/6,220000,23/07/2015,Dead,16/11/2018,0
DHL Energy Services,2017/11/21,2860209,23/07/2015,Dead,16/11/2018,0
DMPortal,2014/3/28,150004,22/11/2013,Dead,11/06/2015,0
DP Governance,2015/3/4,149420,17/04/2014,Dead,16/07/2020,0
DPS,2010/10/21,4762837,26/10/2005,Dead,15/05/2019,0
DRFP,2015/7/27,230256,20/10/1995,Dead,07/05/2018,0
DRFP,2012/5/24,1092312,20/10/1995,Dead,07/05/2018,0
DRFP,2014/12/23,380016,20/10/1995,Dead,07/05/2018,0
DRFP,2013/12/30,3100032,20/10/1995,Dead,07/05/2018,0
DSG Quantity Surveyors,2014/8/20,60000,20/02/2007,Dead,22/11/2018,0
DXI,2013/9/23,72090,09/11/2011,Exited,03/06/2015,16500000
DXI,2014/2/14,1109982,09/11/2011,Exited,03/06/2015,16500000
Dab Gaming,2016/8/5,583675,25/04/2013,Dead,18/02/2020,0
Dab Gaming,2015/5/15,1229442,25/04/2013,Dead,18/02/2020,0
Dab Gaming,2014/6/9,670000,25/04/2013,Dead,18/02/2020,0
Dab Gaming,2014/11/12,1199923,25/04/2013,Dead,18/02/2020,0
Dajie,2016/12/5,89955,09/06/2015,Dead,30/04/2019,0
DanDan Digital,2016/4/4,12000,10/04/2014,Dead,23/05/2019,0
DanDan Digital,2015/5/1,20000,10/04/2014,Dead,23/05/2019,0
DanDan Digital,2017/6/30,400000,10/04/2014,Dead,23/05/2019,0
Dara Technologies,2015/6/26,18000,,Dead,01/03/2017,0
Daresay,2015/7/15,37500,09/06/2014,Dead,27/07/2017,0
Daresay,2014/12/8,72000,09/06/2014,Dead,27/07/2017,0
Dark Matter Audio,2011/5/10,233297,16/02/2006,Dead,12/05/2017,0
Dark Matter Audio,2012/2/2,117360,16/02/2006,Dead,12/05/2017,0
Dark Matter Audio,2011/1/5,62213,16/02/2006,Dead,12/05/2017,0
Dark Matter Audio,2010/7/27,25000,16/02/2006,Dead,12/05/2017,0
Daro Design,2015/4/28,50003,28/06/2011,Dead,07/05/2019,0
Dart Renewables,2015/4/1,150052,08/12/2009,Dead,07/08/2019,0
Dart Renewables,2014/6/5,99994,08/12/2009,Dead,07/08/2019,0
Dash Digital,2015/7/16,150000,17/03/2015,Dead,24/10/2018,0
Dassi,2013/4/4,52800,12/09/2006,Dead,15/07/2020,0
Dassi,2015/3/25,424999,12/09/2006,Dead,15/07/2020,0
Dassi,2016/1/7,130000,12/09/2006,Dead,15/07/2020,0
Databoxer,2018/1/8,433291,26/05/2017,Dead,07/05/2019,0
Daviot Farms,2013/8/8,699998,05/08/2013,Dead,11/10/2017,0
Daviot Farms,2015/3/3,600008,05/08/2013,Dead,11/10/2017,0
Daviot Farms,2014/2/6,1000000,05/08/2013,Dead,11/10/2017,0
Daymar Bay Iced Tea,2013/11/4,21000,19/05/2008,Dead,22/03/2019,0
Daymar Bay Iced Tea,2013/3/4,111332,19/05/2008,Dead,22/03/2019,0
De Mouilpied,2015/2/11,44974,07/01/2014,Dead,05/01/2018,0
Dead Right,2017/1/19,148891,26/08/2015,Dead,11/12/2018,0
Dead Right,2017/7/20,208662,26/08/2015,Dead,11/12/2018,0
Dead Right,2016/7/6,55000,26/08/2015,Dead,11/12/2018,0
Dead Right,2018/4/19,152411,26/08/2015,Dead,11/12/2018,0
DealCart,2016/5/23,25000,26/01/2015,Dead,02/11/2018,0
DealCart,2016/12/21,9997,26/01/2015,Dead,02/11/2018,0
DealX,2016/3/7,89949,30/08/2014,Dead,16/04/2019,0
DealX,2014/11/24,173996,30/08/2014,Dead,16/04/2019,0
DealX,2015/7/17,99890,30/08/2014,Dead,16/04/2019,0
Dealflo,2014/6/18,1500476,25/09/2008,Exited,30/05/2018,41000000
Dealflo,2017/2/27,10000007,25/09/2008,Exited,30/05/2018,41000000
Deals & Meals,2015/1/29,200000,22/04/2014,Dead,16/06/2016,0
Deals & Meals,2015/9/23,269931,22/04/2014,Dead,16/06/2016,0
Deals & Meals,2014/11/26,60000,22/04/2014,Dead,16/06/2016,0
Deals & Meals,2014/9/24,140000,22/04/2014,Dead,16/06/2016,0
DebtCase,2017/8/4,39996,09/02/2017,Dead,17/07/2020,0
Deekit,2015/9/15,8627,19/08/2015,Dead,22/01/2019,0
Deemtree,2016/12/8,32023,08/08/2014,Dead,04/09/2018,0
DeepHarbour,2015/3/2,375000,18/03/2013,Dead,23/05/2019,0
DeepMind,2011/2/23,2047756,23/09/2010,Exited,27/01/2014,400000000
DeepMind,2011/12/23,14794655,23/09/2010,Exited,27/01/2014,400000000
DeepMind,2013/3/28,24841209,23/09/2010,Exited,27/01/2014,400000000
Delavals Brewers,2014/4/15,150000,11/01/2005,Dead,10/07/2015,0
Delhop,2017/9/22,30000,08/02/2016,Dead,04/06/2019,0
Deli At Home,2015/4/2,44979,18/12/2014,Dead,28/07/2016,0
Delinquent,2015/4/29,250003,13/02/2014,Exited,01/07/2015,2367909
Delinquent,2014/6/24,979984,13/02/2014,Exited,01/07/2015,2367909
Deliverd,2015/7/14,200000,18/03/2015,Dead,04/09/2017,0
Deliverics,2010/12/2,279391,28/04/2010,Dead,08/07/2016,0
Delivery Cube,2015/2/13,150000,12/11/2014,Dead,26/01/2017,0
Deltawood,2017/5/22,75020,24/05/2016,Dead,07/11/2018,0
Demon Sport,2014/4/30,148500,05/06/2013,Dead,12/09/2017,0
Den,2018/1/4,395036,18/03/2013,Dead,22/02/2020,0
Den,2015/4/12,150000,18/03/2013,Dead,22/02/2020,0
Den,2018/5/22,1890140,18/03/2013,Dead,22/02/2020,0
Den,2019/3/1,287984,18/03/2013,Dead,22/02/2020,0
Den,2015/6/8,343430,18/03/2013,Dead,22/02/2020,0
Den,2018/12/28,245030,18/03/2013,Dead,22/02/2020,0
Denaro,2017/1/9,34500,20/01/2016,Dead,03/03/2020,0
Department of Endurance,2018/2/15,19950,13/08/2015,Dead,02/07/2019,0
Dept. Meat,2018/2/20,650000,16/01/2018,Dead,17/03/2020,0
Design for Business,2011/10/1,19575,24/03/1992,Dead,05/10/2016,0
DesignMyNight,2014/1/15,250009,16/11/2009,Exited,23/11/2017,23319000
DesignMyNight,2017/11/17,247301,16/11/2009,Exited,23/11/2017,23319000
DesignMyNight,2012/8/14,260000,16/11/2009,Exited,23/11/2017,23319000
Designtalent,2016/1/19,300000,04/06/2015,Dead,20/06/2018,0
Desk Dragons,2016/8/12,80000,12/11/2015,Dead,15/01/2019,0
Desktop Genetics,2015/12/9,261335,07/08/2012,Exited,01/06/2018,346206
Desktop Genetics,2012/12/19,51785,07/08/2012,Exited,01/06/2018,346206
Desktop Genetics,2015/9/15,1373849,07/08/2012,Exited,01/06/2018,346206
Desktop Genetics,2013/8/27,275011,07/08/2012,Exited,01/06/2018,346206
Detail Kitchens,2015/5/31,150000,31/12/1946,Dead,26/03/2019,0
Detail Kitchens,2014/5/23,99999,31/12/1946,Dead,26/03/2019,0
Deteq Solutions,2012/6/22,10000,01/09/2010,Dead,19/10/2017,0
Deteq Solutions,2014/4/15,51497,01/09/2010,Dead,19/10/2017,0
Deteq Solutions,2013/1/9,96500,01/09/2010,Dead,19/10/2017,0
Devario,2014/1/22,44460,06/08/2012,Dead,18/10/2019,0
Devario,2013/2/26,80000,06/08/2012,Dead,18/10/2019,0
Dexter Intelligence,2013/7/22,309428,17/11/2011,Dead,11/02/2020,0
Dez Developments,2013/9/3,22383,22/02/2013,Dead,22/01/2019,0
Di5,2013/3/21,100000,18/08/2008,Dead,07/07/2020,0
Di5,2011/1/28,190000,18/08/2008,Dead,07/07/2020,0
Diagnostic Questions,2014/9/11,99999,07/08/2014,Dead,19/10/2017,0
Diary.com,2014/11/28,149997,10/04/2007,Dead,21/05/2019,0
Dibbz,2014/3/31,120030,,Dead,05/01/2017,0
DigIn,2013/5/7,14998,10/06/2004,Dead,22/05/2018,0
DigIn,2014/11/28,90724,10/06/2004,Dead,22/05/2018,0
Digaleo,2014/12/1,78977,21/11/2013,Dead,16/06/2016,0
Digaleo,2014/4/4,70995,21/11/2013,Dead,16/06/2016,0
Digax,2017/10/20,50001,16/06/2017,Dead,09/07/2020,0
Digax,2018/11/13,600000,16/06/2017,Dead,09/07/2020,0
Digima,2011/10/11,200000,12/11/2008,Dead,21/04/2020,0
Digima,2010/2/12,99996,12/11/2008,Dead,21/04/2020,0
Digiservex,2016/1/22,150024,23/06/2011,Dead,17/03/2017,0
DigitBrew,2018/5/27,111323,30/05/2018,Dead,04/02/2020,0
Digital Contact,2018/7/16,308307,18/04/2012,Dead,20/02/2020,0
Digital Contact,2017/9/29,49838,18/04/2012,Dead,20/02/2020,0
Digital Contact,2019/6/1,52743,18/04/2012,Dead,20/02/2020,0
Digital Forming,2016/4/19,420000,13/11/2008,Dead,27/11/2018,0
Digital Forming,2014/1/16,200000,13/11/2008,Dead,27/11/2018,0
Digital Forming,2015/11/25,1250005,13/11/2008,Dead,27/11/2018,0
Digital Forming,2012/3/7,500040,13/11/2008,Dead,27/11/2018,0
Dignisen,2014/6/30,15000,30/03/2016,Dead,02/05/2019,0
Dimble,2015/11/15,150000,27/01/2015,Dead,18/09/2018,0
Dinnr,2012/10/24,16500,06/07/2012,Dead,23/10/2014,0
Dinnr,2013/2/21,22700,06/07/2012,Dead,23/10/2014,0
Dinnr,2013/4/23,59940,06/07/2012,Dead,23/10/2014,0
Dinosaurs in the Wild,2016/3/1,1642495,24/11/2014,Dead,02/09/2018,0
Dipstix,2014/7/30,85255,05/07/2013,Dead,12/09/2016,0
Dipstix,2014/1/31,162960,05/07/2013,Dead,12/09/2016,0
Dipstix,2015/1/19,601350,05/07/2013,Dead,12/09/2016,0
Direct Bedroom,2015/2/23,699999,20/08/2012,Dead,03/03/2016,0
DiscountIF,2016/3/22,214301,11/04/2013,Dead,20/11/2018,0
DiscountIF,2014/7/10,150010,11/04/2013,Dead,20/11/2018,0
DiscountIF,2014/2/12,69500,11/04/2013,Dead,20/11/2018,0
Discuva,2012/12/20,1297821,19/03/2007,Exited,23/12/2017,10000000
Discuva,2011/12/2,1990392,19/03/2007,Exited,23/12/2017,10000000
Dispensing Systems,2014/10/20,79153,,Dead,15/06/2018,0
Display Recycling,2014/12/24,245614,26/01/2012,Dead,24/10/2018,0
Distrify Media,2015/6/9,150004,,Dead,03/02/2020,0
Distrify Media,2017/1/19,227568,,Dead,03/02/2020,0
Diversus Technology,2014/4/4,40000,24/03/2014,Dead,06/11/2018,0
Diversus Technology,2015/3/30,110000,24/03/2014,Dead,06/11/2018,0
Diversus Technology,2018/3/23,115000,24/03/2014,Dead,06/11/2018,0
DividaBill,2015/11/6,447240,16/08/2013,Dead,27/06/2016,0
DividaBill,2015/1/14,161250,16/08/2013,Dead,27/06/2016,0
DocsPerfect,2013/12/13,105298,04/07/2011,Dead,15/12/2016,0
DocsPerfect,2012/5/8,399988,04/07/2011,Dead,15/12/2016,0
Dodds Contracts,2018/4/13,39000,21/01/2016,Dead,30/07/2019,0
Dognostica,2018/9/18,19992,13/07/2018,Dead,08/07/2020,0
DoingSomething,2013/4/4,278148,11/07/2011,Dead,27/11/2018,0
DoingSomething,2012/12/12,105002,11/07/2011,Dead,27/11/2018,0
Dojo,2015/12/15,5499731,26/03/2014,Dead,26/03/2020,0
Dojo,2015/1/26,800018,26/03/2014,Dead,26/03/2020,0
Dojo,2018/10/23,2713177,26/03/2014,Dead,26/03/2020,0
Dojo,2014/5/21,50004,26/03/2014,Dead,26/03/2020,0
Dojo,2019/9/19,3206813,26/03/2014,Dead,26/03/2020,0
DolceVita FoodService,2015/1/31,20000,25/02/2014,Dead,08/02/2019,0
Dome Medical,2016/12/15,307605,26/10/2015,Dead,26/02/2019,0
Dome Medical,2018/1/29,51129,26/10/2015,Dead,26/02/2019,0
Dome Medical,2016/4/1,151261,26/10/2015,Dead,26/02/2019,0
Donate The Change,2017/1/4,50000,18/04/2016,Dead,23/05/2019,0
Donate The Change,2017/4/28,350000,18/04/2016,Dead,23/05/2019,0
Donroy,2016/6/8,225000,09/07/2015,Dead,01/05/2019,0
Dot,2015/12/10,60736,06/11/2015,Dead,16/07/2020,0
Double Wing Pharma,2016/8/24,700001,13/04/2015,Dead,23/05/2019,0
Double Wing Pharma,2017/8/18,400000,13/04/2015,Dead,23/05/2019,0
Down-Route,2016/12/16,385000,14/01/2013,Dead,12/07/2019,0
Down-Route,2017/8/26,615000,14/01/2013,Dead,12/07/2019,0
Dreadnought Design,2019/4/1,100008,25/03/2010,Dead,17/02/2020,0
Dream Agility,2015/7/9,149996,09/06/2014,Dead,13/11/2018,0
Dream Agility,2015/12/7,345000,09/06/2014,Dead,13/11/2018,0
Drenl,2017/9/14,2902257,17/12/2012,Dead,17/02/2020,0
Drive Daddy,2017/8/21,190000,06/11/2009,Dead,22/02/2019,0
Drive Green Taxi Services,2011/12/19,10000,09/12/2011,Dead,08/04/2015,0
Driver Instruct Partnership,2015/2/28,10000,06/11/2007,Dead,20/11/2017,0
Drivermatics,2015/3/9,64428,28/03/2012,Dead,21/03/2019,0
Drivermatics,2014/4/2,264248,28/03/2012,Dead,21/03/2019,0
Droplet,2015/5/8,337417,18/11/2011,Dead,15/07/2016,0
Droplet,2013/8/20,150000,18/11/2011,Dead,15/07/2016,0
Droplet,2012/11/30,50000,18/11/2011,Dead,15/07/2016,0
Droplet,2014/4/4,512173,18/11/2011,Dead,15/07/2016,0
DryCry,2014/9/17,30000,03/07/2014,Dead,13/10/2016,0
Dubble,2014/12/9,27969,10/04/2012,Dead,31/03/2019,0
Dubble,2013/9/18,120000,10/04/2012,Dead,31/03/2019,0
Dubzoo,2017/5/22,72998,19/05/2015,Dead,20/02/2020,0
DueCourse,2016/9/19,944528,05/09/2014,Dead,19/10/2018,0
DueCourse,2014/11/20,175001,05/09/2014,Dead,19/10/2018,0
Dunkeld Trading,2015/4/3,3572652,24/02/2011,Dead,22/08/2019,0
Dunkeld Trading,2014/7/17,1793418,24/02/2011,Dead,22/08/2019,0
Dupl,2015/8/25,200006,24/07/2012,Dead,16/11/2017,0
Dupl,2013/9/3,150000,24/07/2012,Dead,16/11/2017,0
Dupl,2014/9/10,194864,24/07/2012,Dead,16/11/2017,0
Duuzra,2014/4/25,198300,04/11/2009,Dead,13/10/2015,0
Duuzra,2012/8/31,220000,04/11/2009,Dead,13/10/2015,0
Duuzra,2010/4/27,99947,04/11/2009,Dead,13/10/2015,0
Duuzra,2013/11/21,1500015,04/11/2009,Dead,13/10/2015,0
Duuzra,2012/1/9,1966752,04/11/2009,Dead,13/10/2015,0
Duuzra,2012/4/23,34800,04/11/2009,Dead,13/10/2015,0
Dynamic Bioarray,2013/8/27,45021,30/04/2012,Dead,18/08/2015,0
E-Box,2011/7/26,621494,23/11/2000,Dead,07/05/2019,0
E2Focus,2014/7/4,84342,25/07/2013,Dead,23/11/2017,0
EBS Elk,2013/2/28,100000,02/09/2010,Dead,17/01/2019,0
ECO Plastics,2011/7/20,6607081,15/03/2000,Dead,16/12/2014,0
ECO Plastics,2009/11/12,566819,15/03/2000,Dead,16/12/2014,0
EEVS,2015/3/5,11422,24/01/2011,Exited,31/07/2015,164461
EMcision,2015/1/31,317069,16/06/1999,Exited,05/03/2018,7220728
EPI Service,2010/8/2,525000,31/12/1987,Dead,17/05/2016,0
EQ Automotive,2016/3/7,50000,30/01/2014,Dead,09/11/2018,0
EQ Automotive,2015/4/5,75000,30/01/2014,Dead,09/11/2018,0
ESS,2018/10/12,40000,31/12/1989,Dead,04/02/2020,0
EVO Electric,2011/6/14,6270329,29/11/2006,Dead,23/05/2016,0
EVO Electric,2010/7/1,2319050,29/11/2006,Dead,23/05/2016,0
Each Life,2013/8/30,10000,14/06/2013,Dead,03/07/2019,0
Each Life,2014/2/25,130000,14/06/2013,Dead,03/07/2019,0
EarSoft,2012/10/1,27501,29/12/2010,Dead,08/03/2017,0
EarSoft,2014/3/27,592859,29/12/2010,Dead,08/03/2017,0
EarlyAce,2016/12/15,109984,28/11/2016,Dead,08/11/2018,0
EarlyBird,2014/12/16,173643,06/06/2014,Dead,02/02/2017,0
EarlyBird,2015/12/14,446748,06/06/2014,Dead,02/02/2017,0
Earthly Energy,2011/8/3,250000,01/12/2009,Dead,26/02/2019,0
Earthly Energy,2010/9/30,100000,01/12/2009,Dead,26/02/2019,0
Earthly Energy,2010/4/30,75000,01/12/2009,Dead,26/02/2019,0
Earthworm Energy,2013/8/19,2364681,25/06/2013,Dead,22/10/2018,0
Earthworm Energy,2014/7/4,1040175,25/06/2013,Dead,22/10/2018,0
Easle,2017/9/6,334173,10/03/2015,Dead,31/08/2019,0
East End Manufacturing,2013/4/12,150000,24/08/2012,Dead,01/02/2017,0
EastWest Partners,2013/12/5,59968,05/10/2012,Dead,29/08/2017,0
EastWest Partners,2013/6/25,23850,05/10/2012,Dead,29/08/2017,0
EatAbout,2016/9/5,30000,09/11/2015,Dead,25/10/2018,0
EatSocial,2012/10/25,33350,28/09/2012,Dead,15/05/2014,0
EatUpp,2015/5/11,822665,12/03/2015,Dead,19/10/2018,0
Eblur,2016/6/15,20000,,Dead,20/02/2019,0
Ebonex,2015/8/13,471500,18/09/2014,Exited,18/04/2017,1750955
Ebonex,2015/2/2,1494559,18/09/2014,Exited,18/04/2017,1750955
Ebonex,2014/12/14,374678,18/09/2014,Exited,18/04/2017,1750955
Ebury,2017/5/25,66999,25/11/2009,Exited,04/11/2019,350000000
Ebury,2014/6/23,2409700,25/11/2009,Exited,04/11/2019,350000000
Ebury,2013/11/14,520988,25/11/2009,Exited,04/11/2019,350000000
Ebury,2012/9/10,1312025,25/11/2009,Exited,04/11/2019,350000000
Ebury,2011/4/28,692194,25/11/2009,Exited,04/11/2019,350000000
Ebury,2010/7/29,225002,25/11/2009,Exited,04/11/2019,350000000
Ebury,2013/9/19,3413292,25/11/2009,Exited,04/11/2019,350000000
Ebury,2015/11/18,42980740,25/11/2009,Exited,04/11/2019,350000000
Ecco Recordings,2014/3/5,140498,05/05/2011,Dead,21/07/2017,0
Ecco Recordings,2014/11/18,59844,05/05/2011,Dead,21/07/2017,0
Ecco Recordings,2011/8/24,45000,05/05/2011,Dead,21/07/2017,0
Eco Chic Restaurants,2013/5/30,35000,02/04/2013,Dead,21/08/2018,0
Eco Chic Restaurants,2013/10/24,40000,02/04/2013,Dead,21/08/2018,0
Eco Chic Restaurants,2016/8/11,375000,02/04/2013,Dead,21/08/2018,0
Eco Companion,2016/8/18,60176,13/10/2014,Dead,16/06/2020,0
Eco Companion,2016/10/27,47003,13/10/2014,Dead,16/06/2020,0
Eco Companion,2017/5/4,20984,13/10/2014,Dead,16/06/2020,0
Eco Energy,2014/1/2,99900,02/04/2009,Dead,08/03/2019,0
Eco Gym,2017/3/28,500625,29/07/2010,Dead,17/12/2019,0
Eco Market,2011/9/30,105084,25/02/2009,Dead,19/04/2016,0
Eco Market,2012/1/31,150120,25/02/2009,Dead,19/04/2016,0
Eco Market,2013/5/22,226572,25/02/2009,Dead,19/04/2016,0
Eco Market,2010/9/25,25000,25/02/2009,Dead,19/04/2016,0
Eco Measure Market Exchange,2015/5/28,200001,09/09/2014,Dead,12/02/2016,0
Eco-Drive Systems,2011/12/22,25000,02/04/2007,Dead,20/02/2020,0
Eco-Drive Systems,2010/11/13,62052,02/04/2007,Dead,20/02/2020,0
Eco-Drive Systems,2010/4/27,40000,02/04/2007,Dead,20/02/2020,0
EcoLogicLiving,2015/3/25,50000,13/10/2008,Dead,09/06/2016,0
EcoLogicLiving,2012/4/25,500000,13/10/2008,Dead,09/06/2016,0
EcoLogicLiving,2013/12/13,199980,13/10/2008,Dead,09/06/2016,0
Econovate,2015/4/3,100000,19/10/2006,Dead,27/02/2019,0
Econovate,2013/1/25,199998,19/10/2006,Dead,27/02/2019,0
Econovate,2016/8/2,682657,19/10/2006,Dead,27/02/2019,0
Ecotech,2014/9/15,999967,01/03/2012,Dead,12/05/2017,0
EdBridge UK,2019/2/8,100003,18/05/2017,Dead,07/08/2019,0
EdBridge UK,2018/6/1,50257,18/05/2017,Dead,07/08/2019,0
Edge Cycling,2015/2/25,37499,14/10/2013,Dead,09/11/2017,0
Edge Cycling,2014/3/21,155000,14/10/2013,Dead,09/11/2017,0
Edgeley Green Power,2014/7/28,80136,16/09/2009,Dead,27/02/2018,0
Edgeley Green Power,2016/1/15,177768,16/09/2009,Dead,27/02/2018,0
Edgeley Green Power,2013/10/14,252874,16/09/2009,Dead,27/02/2018,0
Edgeley Green Power,2012/2/25,200000,16/09/2009,Dead,27/02/2018,0
Edgeley Green Power,2015/4/6,180144,16/09/2009,Dead,27/02/2018,0
Edif Group,2013/3/28,121141,1861-12-31,Exited,25/05/2016,118500000
Edudo,2013/7/18,125396,30/09/2011,Dead,10/05/2017,0
Edududes,2013/7/18,125396,02/02/2012,Dead,13/06/2017,0
Eight Point Nine,2016/1/13,149914,11/04/2011,Dead,02/10/2018,0
EightPixelsSquare,2014/8/22,1457501,10/12/2012,Exited,12/12/2016,247943
EightPixelsSquare,2015/10/29,180000,10/12/2012,Exited,12/12/2016,247943
Eildon Concrete Products,2011/12/31,76500,25/09/2009,Dead,18/10/2018,0
Ekos,2015/4/1,62985,30/01/2012,Dead,12/10/2015,0
Elderberry Post,2015/5/15,271331,30/05/2013,Dead,12/11/2018,0
Elderberry Post,2013/12/20,397329,30/05/2013,Dead,12/11/2018,0
Elements,2012/5/8,4510736,13/01/2004,Dead,23/06/2015,0
Elexu,2013/4/23,74435,17/12/2010,Dead,26/06/2018,0
Elite Training Experience,2017/3/15,139479,02/02/2016,Dead,08/07/2020,0
Ellumia,2014/4/17,24998,21/11/2012,Dead,22/10/2018,0
Elonics,2010/9/6,6184562,24/09/2003,Dead,07/01/2016,0
Eluma Burials,2018/4/5,128750,28/05/2016,Dead,19/02/2019,0
Embryonyx,2013/11/12,9056,16/04/2008,Dead,05/03/2019,0
Emergeination,2014/7/24,150000,28/02/2013,Dead,16/11/2018,0
Emergeination,2015/12/1,25000,28/02/2013,Dead,16/11/2018,0
EnAlgo,2016/5/25,750000,13/11/2015,Dead,24/07/2019,0
EnGym,2015/7/22,99978,21/05/2010,Dead,07/09/2016,0
EnXray,2018/2/15,460012,08/10/2012,Dead,02/05/2019,0
EnXray,2016/6/30,1092159,08/10/2012,Dead,02/05/2019,0
EnXray,2014/6/1,1164950,08/10/2012,Dead,02/05/2019,0
EnXray,2016/10/18,543090,08/10/2012,Dead,02/05/2019,0
Enabling Genius,2012/11/22,80001,13/07/2012,Dead,13/02/2018,0
Enabling Genius,2012/7/30,64999,13/07/2012,Dead,13/02/2018,0
EncycloKidia,2017/5/15,18334,26/09/2014,Dead,29/10/2018,0
EncycloKidia,2015/12/12,136500,26/09/2014,Dead,29/10/2018,0
Enecsys,2011/5/3,25055011,14/07/2003,Dead,07/01/2016,0
Enecsys,2013/2/18,11440911,14/07/2003,Dead,07/01/2016,0
Enecsys,2009/6/24,2805334,14/07/2003,Dead,07/01/2016,0
Energeno,2011/2/3,59007,17/12/2008,Dead,23/11/2015,0
Energeno,2013/10/17,74925,17/12/2008,Dead,23/11/2015,0
Energeno,2014/4/22,99764,17/12/2008,Dead,23/11/2015,0
Energetic Holdings,2012/1/18,399749,20/03/2008,Dead,27/09/2018,0
Energy10,2014/6/26,350000,22/05/2014,Dead,25/10/2018,0
EnergyOffGrid,2013/6/11,100002,21/02/2013,Dead,30/10/2018,0
EnergyOffGrid,2016/6/30,1200209,21/02/2013,Dead,30/10/2018,0
EnergyOffGrid,2014/9/4,360850,21/02/2013,Dead,30/10/2018,0
EnergyOffGrid,2015/2/12,150027,21/02/2013,Dead,30/10/2018,0
EnergyWiser,2015/10/1,30000,16/10/2014,Dead,20/11/2017,0
Engerati,2018/7/24,39001,31/12/2012,Dead,10/01/2019,0
Enhanced Hydrocarbon Technologies,2012/9/6,277500,19/10/2011,Dead,13/06/2017,0
Enhanced Hydrocarbon Technologies,2013/8/31,296489,19/10/2011,Dead,13/06/2017,0
Enigma Diagnostics,2009/10/26,32641464,27/04/2004,Dead,03/04/2017,0
Enigma Diagnostics,2013/2/22,8672139,27/04/2004,Dead,03/04/2017,0
Enigma Diagnostics,2011/1/14,9875001,27/04/2004,Dead,03/04/2017,0
Enlist,2016/2/24,1100000,08/07/2015,Dead,18/06/2018,0
Enpro Subsea,2019/5/24,99022,04/05/2011,Exited,21/02/2020,25600000
Enpro Subsea,2018/1/22,3599997,04/05/2011,Exited,21/02/2020,25600000
Enpro Subsea,2017/3/10,100000,04/05/2011,Exited,21/02/2020,25600000
Enquirisk,2013/9/23,10000,24/10/2012,Dead,01/07/2018,0
Entire Cover,2015/2/5,37525,08/08/2014,Dead,14/12/2018,0
Environmental Practical Solutions,2016/12/23,316614,03/04/2012,Dead,25/04/2019,0
Environmental Practical Solutions,2013/7/3,150000,03/04/2012,Dead,25/04/2019,0
Envision Retail,2012/4/11,999996,27/08/2010,Dead,30/04/2019,0
Epic Pubs,2015/3/25,3096278,31/07/2014,Dead,08/08/2019,0
Epic Pubs,2016/2/18,74954,31/07/2014,Dead,08/08/2019,0
Equal Pay Legal,2017/7/3,799986,27/11/2012,Dead,24/02/2020,0
Equator Design,2014/12/10,194250,24/01/2012,Exited,01/03/2017,33000000
Equator Developments,2017/12/31,13500,01/04/2009,Dead,19/12/2019,0
Equinox Global,2010/9/22,238630,05/11/2009,Exited,18/07/2017,5651238
Equinox Global,2012/3/20,1073854,05/11/2009,Exited,18/07/2017,5651238
Equinox Global,2014/1/22,33294,05/11/2009,Exited,18/07/2017,5651238
Equinox Global,2014/12/23,2000000,05/11/2009,Exited,18/07/2017,5651238
Equinox Global,2013/1/11,79917,05/11/2009,Exited,18/07/2017,5651238
Equinox Search,2017/6/16,22500,04/01/2016,Dead,26/02/2019,0
Erin Solar,2013/10/7,490000,19/02/2013,Dead,26/10/2018,0
Erudine,2014/4/9,341595,21/05/2012,Dead,05/01/2017,0
Erudine,2015/4/2,966845,21/05/2012,Dead,05/01/2017,0
Esendex,2012/12/17,64563,31/12/2001,Exited,29/07/2013,11000000
EspressGo,2017/4/5,150000,06/10/2016,Dead,12/04/2018,0
EspressGo,2017/10/18,50000,06/10/2016,Dead,12/04/2018,0
Estuary Precision,2012/7/26,41010,16/02/2012,Dead,23/09/2014,0
Etape Suisse,2016/1/20,20000,07/11/2013,Dead,28/08/2018,0
Etape Suisse,2014/3/19,150000,07/11/2013,Dead,28/08/2018,0
EthicalBox,2014/11/1,13542,30/04/2014,Dead,24/03/2016,0
Ethicor Pharma,2012/8/20,150000,09/03/2012,Dead,01/11/2018,0
Ethicor Pharma,2013/4/1,368000,09/03/2012,Dead,01/11/2018,0
Ethicor Pharma,2014/2/21,334250,09/03/2012,Dead,01/11/2018,0
Ethicor Pharma,2014/10/23,269000,09/03/2012,Dead,01/11/2018,0
Ethien,2015/7/14,100000,08/05/2015,Dead,10/02/2020,0
