Beauhurst company URL,Beauhurst deal URL,Company name,Deal date,Verified investment amount (converted to GBP),Amount raised (converted to GBP)
https://platform.beauhurst.com/company/x4fjuf/,https://platform.beauhurst.com/transaction/fundraising/9r4v/,Moonpeel,2014/5/9,80000,80000
https://platform.beauhurst.com/company/v6r9pa/,https://platform.beauhurst.com/transaction/fundraising/3dnn/,Pocket Wardrobe,2014/4/4,129998,129998.1381
https://platform.beauhurst.com/company/krjn6y/,https://platform.beauhurst.com/transaction/fundraising/vi2d/,My Ageing Parent,2015/3/19,100000,100000
https://platform.beauhurst.com/company/reve3q/,https://platform.beauhurst.com/transaction/fundraising/6zad/,Missionly,2014/6/5,19995,19995
https://platform.beauhurst.com/company/t6xfwm/,https://platform.beauhurst.com/transaction/fundraising/rfqp/,Upper Street,2015/3/25,229626,243864
https://platform.beauhurst.com/company/p2atsv/,https://platform.beauhurst.com/transaction/fundraising/igh5/,Celtique Energie,2012/8/31,3057167,3057166.911
https://platform.beauhurst.com/company/p2atsv/,https://platform.beauhurst.com/transaction/fundraising/bzjs/,Celtique Energie,2013/3/28,5655103,5655102.873
https://platform.beauhurst.com/company/p2atsv/,https://platform.beauhurst.com/transaction/fundraising/jtf6/,Celtique Energie,2014/5/2,3900672,3900672.251
https://platform.beauhurst.com/company/p2atsv/,https://platform.beauhurst.com/transaction/fundraising/icju/,Celtique Energie,2015/3/31,4900947,4900947.413
https://platform.beauhurst.com/company/hmpmv6/,https://platform.beauhurst.com/transaction/fundraising/yi6s/,Koko Nata,2015/3/20,149871,149870.5116
https://platform.beauhurst.com/company/gdyasc/,https://platform.beauhurst.com/transaction/fundraising/266d/,Vinoa,2014/8/10,146139,146139.2
https://platform.beauhurst.com/company/gdyasc/,https://platform.beauhurst.com/transaction/fundraising/ckc2/,Vinoa,2015/2/27,340200,340200
https://platform.beauhurst.com/company/2aeupq/,https://platform.beauhurst.com/transaction/fundraising/d6n8/,Happy2retire,2014/9/24,74700,74700
https://platform.beauhurst.com/company/p2atsv/,https://platform.beauhurst.com/transaction/fundraising/kisb/,Celtique Energie,2011/1/11,,
https://platform.beauhurst.com/company/s4bdf8/,https://platform.beauhurst.com/transaction/fundraising/g57f/,Unii,2013/8/15,1510948,1510947.744
https://platform.beauhurst.com/company/s4bdf8/,https://platform.beauhurst.com/transaction/fundraising/ebdt/,Unii,2013/12/18,1375000,1375000.141
https://platform.beauhurst.com/company/s4bdf8/,https://platform.beauhurst.com/transaction/fundraising/wedb/,Unii,2014/7/16,2500012,2500011.65
https://platform.beauhurst.com/company/s4bdf8/,https://platform.beauhurst.com/transaction/fundraising/zvca/,Unii,2014/12/22,5869732,5869731.862
https://platform.beauhurst.com/company/n8awxq/,https://platform.beauhurst.com/transaction/fundraising/bwju/,Alphabet Babies,2015/5/26,103978,104000
https://platform.beauhurst.com/company/4nt6fy/,https://platform.beauhurst.com/transaction/fundraising/tiyc/,That's Vapore,2014/6/30,150005,150005.4
https://platform.beauhurst.com/company/9n48um/,https://platform.beauhurst.com/transaction/fundraising/i3zg/,Scopeguard,2013/10/1,336612,336612
https://platform.beauhurst.com/company/wdgm3z/,https://platform.beauhurst.com/transaction/fundraising/jk4p/,Orchards of London,2015/3/31,250000,250000
https://platform.beauhurst.com/company/2hgt6u/,https://platform.beauhurst.com/transaction/fundraising/buzn/,Red's True Barbecue,2015/5/22,2000855,5000000
https://platform.beauhurst.com/company/a36a45/,https://platform.beauhurst.com/transaction/fundraising/68k3/,Power Ethernet,2011/10/5,300179,300179.1
https://platform.beauhurst.com/company/a36a45/,https://platform.beauhurst.com/transaction/fundraising/28h9/,Power Ethernet,2012/7/30,418671,418670.85
https://platform.beauhurst.com/company/a36a45/,https://platform.beauhurst.com/transaction/fundraising/yph7/,Power Ethernet,2013/7/4,855415,855415.05
https://platform.beauhurst.com/company/xhbxwv/,https://platform.beauhurst.com/transaction/fundraising/6i3e/,Pryynt,2015/5/26,,1299479.999
https://platform.beauhurst.com/company/e8excb/,https://platform.beauhurst.com/transaction/fundraising/cdex/,Evolved Intelligence,2012/10/9,200063,200062.8
https://platform.beauhurst.com/company/e8excb/,https://platform.beauhurst.com/transaction/fundraising/ywmx/,Evolved Intelligence,2013/4/25,330004,330004
https://platform.beauhurst.com/company/sasrh4/,https://platform.beauhurst.com/transaction/fundraising/i6e3/,Quench Worldwide,2013/8/27,878150,878149.8184
https://platform.beauhurst.com/company/sasrh4/,https://platform.beauhurst.com/transaction/fundraising/4vax/,Quench Worldwide,2014/9/25,103004,103003.7738
https://platform.beauhurst.com/company/sasrh4/,https://platform.beauhurst.com/transaction/fundraising/6cux/,Quench Worldwide,2014/12/12,327995,327995.4
https://platform.beauhurst.com/company/rwbu98/,https://platform.beauhurst.com/transaction/fundraising/j8yf/,Secure IA,2015/5/28,,500000
https://platform.beauhurst.com/company/atexun/,https://platform.beauhurst.com/transaction/fundraising/rjif/,Globr,2014/12/11,50000,50000
https://platform.beauhurst.com/company/shfvqi/,https://platform.beauhurst.com/transaction/fundraising/8qqh/,Your10,2015/5/26,12960,12960
https://platform.beauhurst.com/company/h9mjgt/,https://platform.beauhurst.com/transaction/fundraising/62j5/,Lending Works,2013/5/8,160000,160000.181
https://platform.beauhurst.com/company/h9mjgt/,https://platform.beauhurst.com/transaction/fundraising/4ik5/,Lending Works,2015/5/26,339675,339674.6796
https://platform.beauhurst.com/company/69vt5n/,https://platform.beauhurst.com/transaction/fundraising/tcx2/,Airbeem,2013/4/14,170000,169999.9749
https://platform.beauhurst.com/company/69vt5n/,https://platform.beauhurst.com/transaction/fundraising/jv62/,Airbeem,2015/3/1,450133,450132.97
https://platform.beauhurst.com/company/udqqyy/,https://platform.beauhurst.com/transaction/fundraising/qqnf/,Nom Foods,2015/5/28,,150000
https://platform.beauhurst.com/company/8rxxb9/,https://platform.beauhurst.com/transaction/fundraising/nwaj/,Nifty Nosh,2014/5/15,,1000000
https://platform.beauhurst.com/company/i8rpjp/,https://platform.beauhurst.com/transaction/fundraising/sxgw/,Book The Slot,2014/9/11,15000,15000
https://platform.beauhurst.com/company/bqzp5v/,https://platform.beauhurst.com/transaction/fundraising/saa3/,TribeHive,2015/4/2,120015,120014.54
